PI_number,log_dry_weight
PI562990,1.83636510482237
PI562990,2.37901459747063
PI562990,1.80043710646867
PI562991,1.9578019952011
PI562991,1.92025592193559
PI562994,1.91491487678023
PI562994,2.57283077751689
PI562994,1.8294822176616
PI562997,1.93324620701321
PI562997,1.751499664533
PI562998,2.39600263333273
PI562998,1.83975404967356
PI562998,1.8687991608665
PI563002,1.75586323256034
PI563002,2.37087253039091
PI563002,1.84971921358798
PI563006,2.13534757818233
PI563006,1.78490834375327
PI563009,1.8687991608665
PI563009,2.44121293870305
PI563009,1.94080445143633
PI563020,1.94574984856542
PI563020,1.86255957357855
PI563020,2.46895737616304
PI563021,2.47604916764297
PI563021,1.96482979584393
PI563021,1.751499664533
PI563022,2
PI563022,2.34651487316274
PI563022,1.84971921358798
PI563032,1.95542612609167
PI563032,2.35540917537645
PI563032,2.10478169806886
PI563196,2.27712357347469
PI563196,2.08435411795192
PI563196,2.14359017476158
PI563222,2.21094556916642
PI563222,2.18561003314488
PI563222,2.06431961411589
PI563295,2.35396723706218
PI563295,1.96250359687828
PI563329,2.2688354958407
PI563329,2.10017737402625
PI563330,2.37360867850285
PI563332,2.47904298323255
PI563332,2.34070158946065
PI563332,2.02414122991499
PI563338,2.16968221694418
PI563338,1.92551285263904
PI563348,1.99790715176088
PI563348,1.8687991608665
PI563350,2.2688354958407
PI563350,1.83975404967356
PI563350,1.84971921358798
PI563355,1.87492425382964
PI563355,1.80793873004513
PI564163,1.63742094770674
PI564163,1.69413463947928
PI564163,1.751499664533
PI566819,2.17218266459609
PI566819,2.17957355398653
PI566819,2.04300546914031
PI568717,1.99580109934459
PI568717,1.83636510482237
PI569090,2.31734883887459
PI569090,1.99790715176088
PI569090,2.07113226283332
PI569097,2.07780864939938
PI569097,2.25551944307475
PI569097,2.38301234825511
PI569148,2.33539692072342
PI569148,2.07448714736096
PI569244,2.32766953397683
PI569244,2.16206649040961
PI569244,2.15948880809732
PI569264,2.1555845741087
PI569264,1.94080445143633
PI569416,1.91491487678023
PI569416,2.74929630207313
PI569416,1.92551285263904
PI569418,1.93068827724985
PI569418,2.01228880612854
PI569419,1.8983590110985
PI569419,1.79276301675523
PI569420,2.56447564235117
PI569420,1.85297590479216
PI569420,1.64956076557094
PI569421,1.90396936502257
PI569421,2.291368217932
PI569421,1.80043710646867
PI569422,1.81888424180279
PI569422,1.90396936502257
PI569423,1.70440647149124
PI569423,1.91759608156217
PI569425,1.89551807309378
PI569425,1.91491487678023
PI569427,1.91491487678023
PI569427,1.935784684651
PI569433,2.00620094984352
PI569433,1.94574984856542
PI569435,1.94328630822746
PI569435,1.9506230475325
PI569443,2.03181531962843
PI569443,1.8431089342012
PI569444,2.6063466010811
PI569444,1.84643043623962
PI569444,1.91491487678023
PI569445,1.97622367328444
